iter	Logloss
223	0.2634387897
224	0.2627845671
225	0.2619544953
226	0.2614738888
227	0.2608121111
228	0.2603796466
229	0.259965312
230	0.2594805103
231	0.2587832163
232	0.258130293
233	0.2575516588
234	0.2569760145
235	0.2561630312
236	0.2554144581
237	0.254906751
238	0.2542539544
239	0.2538039554
240	0.2529807844
241	0.2519683759
242	0.2516587844
243	0.2509984747
244	0.2502570119
245	0.2496956333
246	0.249302263
247	0.2489486099
248	0.2485219855
249	0.2480504751
250	0.2474518994
251	0.2469227119
252	0.2462995535
253	0.2455809557
254	0.2450869806
255	0.2443241462
256	0.2438457915
257	0.2430751541
258	0.2423875663
259	0.2419397457
260	0.2415244339
261	0.2411247995
262	0.240438644
263	0.2398286964
264	0.2393784898
265	0.2387339559
266	0.2382662929
267	0.2377017997
268	0.2372746471
269	0.2367390549
270	0.2360430007
271	0.2355072245
272	0.2347798354
273	0.2343076715
274	0.2338504053
275	0.2331633003
276	0.2328336074
277	0.2324807163
278	0.2319535163
279	0.2312900032
280	0.2308190805
281	0.2302451986
282	0.2297599322
283	0.2290685644
284	0.2288334192
285	0.2283031112
286	0.227717082
287	0.2271572313
288	0.226694229
289	0.2263168903
290	0.225971232
291	0.2254569958
292	0.2247734675
293	0.2242227393
294	0.2237008408
295	0.2233404558
296	0.2228867412
297	0.2223809422
298	0.2219245282
299	0.2214411281
300	0.2208822111
301	0.2206271992
302	0.2201379601
303	0.2198806541
304	0.2194702717
305	0.2189987783
306	0.2186154655
307	0.2182054381
308	0.2177365652
309	0.2172981676
310	0.2168705425
311	0.2162546477
312	0.2157648506
313	0.2154621209
314	0.2148121353
315	0.214454299
316	0.2138363808
317	0.2134390686
318	0.2128714001
319	0.2127212688
320	0.2122662482
321	0.2119220757
322	0.2115328761
323	0.2111842437
324	0.2108202651
325	0.2104165271
326	0.2099389628
327	0.2094960715
328	0.2092912071
329	0.2089482141
330	0.2085305449
331	0.2082169164
332	0.2075948701
333	0.2070391865
334	0.2068188504
335	0.2063877616
336	0.2059822341
337	0.2056394659
338	0.2051586218
339	0.2045672842
340	0.2042012375
341	0.203905463
342	0.2036026658
343	0.2032572403
344	0.2029008476
345	0.2026688307
346	0.2024293252
347	0.2019075965
348	0.2015356969
349	0.2008693004
350	0.2005254527
351	0.1998898696
352	0.1994026465
353	0.199121922
354	0.1987828138
355	0.1984103701
356	0.1980187149
357	0.1976309143
358	0.1973115502
359	0.1968254122
360	0.1964621821
361	0.1962401024
362	0.195918218
363	0.1955270567
364	0.1951193283
365	0.1948334162
366	0.1946393766
367	0.1944264321
368	0.1940744442
369	0.1937391185
370	0.1933787009
371	0.193044768
372	0.1925812802
373	0.1923673632
374	0.1919979898
375	0.1917620584
376	0.1914183926
377	0.191247509
378	0.1909972346
379	0.1908219241
380	0.1907548766
381	0.1903254758
382	0.1900405699
383	0.1897244749
384	0.1893000737
385	0.188843975
386	0.1885498519
387	0.188233597
388	0.1878784346
389	0.1875760037
390	0.187036481
391	0.1867621953
392	0.186280145
393	0.1859228777
394	0.1855427661
395	0.1851408931
396	0.1848879679
397	0.1846256817
398	0.1843028223
399	0.183979339
400	0.1837123719
401	0.1835543908
402	0.1833614762
403	0.1830311191
404	0.1827455754
405	0.1825057635
406	0.1821806883
407	0.1818543254
408	0.1814468024
409	0.1811292992
410	0.1807864831
411	0.1805988109
412	0.1801418321
413	0.1797751753
414	0.1794405244
415	0.1789787495
416	0.1786432466
417	0.1783105631
418	0.1779687818
419	0.1776235101
420	0.1773803731
421	0.1770965638
422	0.176792229
423	0.1765538062
424	0.1761769525
425	0.1758251177
426	0.1754717542
427	0.1752911604
428	0.1749664979
429	0.1746697264
430	0.1742208504
431	0.1738366045
432	0.1735043306
433	0.1733555022
434	0.173030505
435	0.1726732762
436	0.1723069268
437	0.1719332892
438	0.1714670156
439	0.1711546808
440	0.1709589242
441	0.1707146469
442	0.1703751222
443	0.1699574553
444	0.1695030699
445	0.1690202994
446	0.1686761107
447	0.168549861
448	0.1682558113
449	0.1679519092
450	0.1677644136
451	0.1672769252
452	0.1670094073
453	0.1668021507
454	0.1665663195
455	0.1662071776
456	0.1659727862
457	0.1658257047
458	0.1656078778
459	0.1652639197
460	0.1649777395
461	0.1646003552
462	0.1644264744
463	0.1641585779
464	0.1639828112
465	0.1638458621
466	0.1636764058
467	0.1633157945
468	0.1630452816
469	0.1627545494
470	0.1625902914
471	0.1623779024
472	0.1621890695
473	0.1618268923
474	0.1615740369
475	0.1613623825
476	0.161014115
477	0.1607417233
478	0.1604202858
479	0.1602426839
480	0.1597992953
481	0.1594586756
482	0.1592808604
483	0.15908373
484	0.1586981136
485	0.1583511665
486	0.1581259362
487	0.1578182609
488	0.1575372307
489	0.1572553297
490	0.1569833582
491	0.156854965
492	0.1565143499
493	0.1562354803
494	0.1559120371
495	0.1555050973
496	0.1552072348
497	0.1549345285
498	0.1547441067
499	0.154431225
500	0.1540765217
501	0.1538680224
502	0.15349436
503	0.1531965437
504	0.1528312438
505	0.1526141004
506	0.1522462176
507	0.1520010192
508	0.1517054062
509	0.1513738587
510	0.1511432761
511	0.150852838
512	0.1506204892
513	0.1504828476
514	0.1503557281
515	0.1500833678
516	0.149738191
517	0.1494459272
518	0.149092004
519	0.1487414562
520	0.1485126068
521	0.1482752678
522	0.1482251682
523	0.1479248747
524	0.1477161665
525	0.1474134842
526	0.1471652618
527	0.1469297888
528	0.1466864076
529	0.1463728065
530	0.1460360866
531	0.1457827098
532	0.145518262
533	0.1452820027
534	0.1450603855
535	0.1448460704
536	0.1445108754
537	0.1442744509
538	0.1441344514
539	0.1439047347
540	0.143589761
541	0.1435201409
542	0.1434246331
543	0.1432146335
544	0.1429432455
545	0.1427723482
546	0.1425654174
547	0.1423818156
548	0.1421253059
549	0.1418937807
550	0.1416107522
551	0.1413605564
552	0.1411936508
553	0.1408772297
554	0.1406647909
555	0.140298947
556	0.1399711074
557	0.1397404709
558	0.1394567164
559	0.1392236347
560	0.1390450894
561	0.1388995159
562	0.1386766898
563	0.1384526183
564	0.138236859
565	0.1379830451
566	0.1376978921
567	0.1373329434
568	0.1370671947
569	0.1368834372
570	0.1366604933
571	0.1365307341
572	0.1364376461
573	0.1363072224
574	0.1361612682
575	0.1359070971
576	0.1357267588
577	0.1354650333
578	0.1352767587
579	0.1350870327
580	0.134843044
581	0.1346628182
582	0.134537688
583	0.1343747083
584	0.1340930521
585	0.133874336
586	0.1335991785
587	0.1334294241
588	0.1331979837
589	0.1329828705
590	0.132691336
591	0.1326023589
592	0.132384836
593	0.1321299617
594	0.1319833529
595	0.1317987217
596	0.1316495124
597	0.1314882588
598	0.1312434253
599	0.1310206864
600	0.1307817138
601	0.1304919712
602	0.1302893402
603	0.1302055255
604	0.1300033863
605	0.1298717144
606	0.1296055281
607	0.1294138216
608	0.1290798721
609	0.1288555136
610	0.1286867151
611	0.1285065357
612	0.1281887866
613	0.1279771865
614	0.1277964822
615	0.1275725137
616	0.1273038065
617	0.1271346558
618	0.1268291101
619	0.1266320443
620	0.1263210331
621	0.1260765604
622	0.1257992897
623	0.1255895523
624	0.1253659873
625	0.1251896961
626	0.1249696024
627	0.1247354052
628	0.1245927879
629	0.1243248668
630	0.1241493686
631	0.124018572
632	0.1238812259
633	0.1236463415
634	0.1234004159
635	0.1232302137
636	0.1230365137
637	0.1227536719
638	0.1225282733
639	0.1223478196
640	0.1222163175
641	0.122029316
642	0.1218467304
643	0.1216416173
644	0.1214236171
645	0.1211902901
646	0.1210306123
647	0.1209225312
648	0.1207838073
649	0.1206428873
650	0.1204203382
651	0.1202663541
652	0.1200763536
653	0.1199163321
654	0.1197337986
655	0.1196331903
656	0.1196036534
657	0.1194690311
658	0.1192001866
659	0.119063822
660	0.1188603672
661	0.1187374618
662	0.1186020439
663	0.1183848808
664	0.1182247853
665	0.1180797027
666	0.1180089792
667	0.1177959839
668	0.1176887628
669	0.1176109401
670	0.1175419927
671	0.1173514222
672	0.1172479176
673	0.1170573012
674	0.1169491052
675	0.1168553748
676	0.1166580027
677	0.1165092518
678	0.1162664276
679	0.1161484441
680	0.11599409
681	0.1158642331
682	0.1156373866
683	0.1154565922
684	0.1152640258
685	0.1150237369
686	0.1149056942
687	0.1146850526
688	0.1145532467
689	0.1142942772
690	0.1140504152
691	0.113795469
692	0.113663545
693	0.1134420502
694	0.1132645354
695	0.1130109715
696	0.1128625305
697	0.1126952606
698	0.1125746695
699	0.112339872
700	0.1121839187
701	0.1119357195
702	0.1118277989
703	0.1116463164
704	0.1115138266
705	0.1112966684
706	0.1111381533
707	0.1109238773
708	0.1107815646
709	0.1106902017
710	0.110498861
711	0.1102956514
712	0.1101465063
713	0.1100795449
714	0.1098784445
715	0.1097516588
716	0.1095520402
717	0.1094122302
718	0.1092206443
719	0.1090569136
720	0.1088559499
721	0.1087299807
722	0.1085204559
723	0.1084290473
724	0.1082505146
725	0.1081045727
726	0.1079678857
727	0.1077465145
728	0.1076163796
729	0.1075162929
730	0.1073410309
731	0.107171851
732	0.1071276531
733	0.1070504372
734	0.1069015331
735	0.1066626801
736	0.1065658864
737	0.1065063293
738	0.1063034697
739	0.1062248953
740	0.1061368079
741	0.1060726267
742	0.1058655606
743	0.1057064645
744	0.1054851784
745	0.1053620753
746	0.1052529804
747	0.1050461328
748	0.1048976189
749	0.1046556803
750	0.1045045656
751	0.1043583428
752	0.1042492969
753	0.1041163445
754	0.1039932869
755	0.1038330292
756	0.103732394
757	0.1036718803
758	0.1034891178
759	0.1033417173
760	0.1032677579
761	0.103109993
762	0.1029764894
763	0.1028334744
764	0.1026470411
765	0.1024584389
766	0.1023516746
767	0.1021090709
768	0.1019248326
769	0.1018615841
770	0.1016520493
771	0.1014741642
772	0.1012743933
773	0.1010511043
774	0.1009302228
775	0.100685819
776	0.1005723517
777	0.1004509168
778	0.1002430446
779	0.1000314421
780	0.09985456994
781	0.09969005032
782	0.09956953632
783	0.09944657688
784	0.09933349976
785	0.09918025978
786	0.09905563831
787	0.09893707961
788	0.09878540036
789	0.09864269663
790	0.09850350795
791	0.09841055392
792	0.09821211921
793	0.09808859916
794	0.0978845617
795	0.09773161258
796	0.09760497892
797	0.09743174044
798	0.09730261533
799	0.09715070468
800	0.09699772515
801	0.09682893872
802	0.09668549724
803	0.09658181476
804	0.09651331449
805	0.09639438755
806	0.0962653144
807	0.09615874922
808	0.09600996878
809	0.09585622659
810	0.09571134969
811	0.09557352368
812	0.09542200802
813	0.09535270686
814	0.09522086006
815	0.09513110131
816	0.0949988372
817	0.094861979
818	0.09470922519
819	0.09459919997
820	0.09445655051
821	0.09433982169
822	0.09414422339
823	0.09400718885
824	0.09385198363
825	0.09371438284
826	0.0935788046
827	0.09347430049
828	0.09335513362
829	0.09318645005
830	0.09304568142
831	0.09289985573
832	0.09279343352
833	0.09275730124
834	0.09260189215
835	0.09243944043
836	0.09231435919
837	0.09213029241
838	0.09202495917
839	0.0919500518
840	0.09182854352
841	0.09170331062
842	0.09154484446
843	0.09145573949
844	0.09133069382
845	0.09109684345
846	0.09094254168
847	0.09073541762
848	0.09064727244
849	0.0905296689
850	0.09038746826
851	0.09030714421
852	0.09019209999
853	0.09005478855
854	0.08992890462
855	0.08977648795
856	0.08963704694
857	0.08946534644
858	0.08935967582
859	0.08925211339
860	0.08912242128
861	0.08907226297
862	0.08889445703
863	0.08868668203
864	0.0884915828
865	0.0883832728
866	0.08827715283
867	0.08816532947
868	0.08811428725
869	0.08803418093
870	0.087917049
871	0.08771843371
872	0.08762416011
873	0.08747988947
874	0.08737440272
875	0.08724896021
876	0.0871434585
877	0.08699501685
878	0.0868444509
879	0.0867434356
880	0.08658624612
881	0.08642290073
882	0.08626213339
883	0.0861675524
884	0.08604867456
885	0.08596514491
886	0.08591738194
887	0.08577616477
888	0.08563231335
889	0.08548833438
890	0.08533263079
891	0.08524804363
892	0.08506325784
893	0.08490521204
894	0.08475630473
895	0.08463155382
896	0.08449760168
897	0.08443658536
898	0.08434496909
899	0.0842164375
900	0.08410296756
901	0.08397893682
902	0.08385312426
903	0.08375060289
904	0.08364871584
905	0.08352563465
906	0.0834006948
907	0.08331273686
908	0.08317669787
909	0.08302593337
910	0.08291561987
911	0.0827975896
912	0.08268995207
913	0.08257714544
914	0.08245252082
915	0.08236422996
916	0.08222475517
917	0.08214526201
918	0.08198635463
919	0.08185742351
920	0.08166198609
921	0.08152019686
922	0.08139305713
923	0.08129531231
924	0.08122260583
925	0.08112757483
926	0.08100148155
927	0.08090454909
928	0.08079252903
929	0.08070045072
930	0.08060000277
931	0.08044813831
932	0.08031755344
933	0.08021183401
934	0.0800675571
935	0.07994098955
936	0.0797860896
937	0.07971824755
938	0.07958518909
939	0.07938894539
940	0.07931376606
941	0.07924528305
942	0.07907974111
943	0.07892698237
944	0.07884286355
945	0.0787697065
946	0.0786224088
947	0.07853105418
948	0.07846194443
949	0.0783959589
950	0.07830373692
951	0.07820333477
952	0.07809528804
953	0.07796603491
954	0.07784480867
955	0.07773582
956	0.07762557056
957	0.07748201312
958	0.0773671278
959	0.07722910804
960	0.07707889021
961	0.07696177232
962	0.07686649137
963	0.07678389763
964	0.07663398473
965	0.07649202316
966	0.0763736288
967	0.07624662716
968	0.07611863303
969	0.07605274813
970	0.075883216
971	0.07574602043
972	0.07562550358
973	0.07552250763
974	0.07546973927
975	0.07535074268
976	0.07522831419
977	0.07511844774
978	0.07506957711
979	0.07499164131
980	0.0748446277
981	0.07476227138
982	0.07470461538
983	0.07465954607
984	0.07456135131
985	0.07448561488
986	0.07445220222
987	0.07436935365
988	0.07423344448
989	0.07414013097
990	0.07402750259
991	0.07394471175
992	0.07380955267
993	0.07369811679
994	0.07367134768
995	0.07350450271
996	0.07336426459
997	0.07326258013
998	0.07318981074
999	0.0731132836
