iter	RMSE
0	607.1832018
1	568.6673674
2	534.482114
3	504.9328478
4	478.9265965
5	458.4412379
6	438.3715157
7	422.3576922
8	405.7217625
9	392.1814232
10	379.688479
11	368.0743508
12	357.3073311
13	346.9368867
14	338.9866037
15	330.8698602
16	324.7327704
17	319.0854694
18	312.4379228
19	307.3555507
20	302.9969039
21	298.7836157
22	295.3132557
23	292.3301967
24	289.2891628
25	285.5556117
26	282.4646938
27	279.4723553
28	277.4094841
29	274.3376888
30	272.2801876
31	270.1793097
32	268.3298412
33	266.6116614
34	264.9376705
35	263.3553297
36	261.9961658
37	260.0631714
38	258.7601243
39	257.5503199
40	256.0717838
41	255.3328011
42	254.5464682
43	253.2262275
44	252.4490157
45	251.914984
46	250.9540723
47	250.3638706
48	249.362789
49	248.6972707
50	248.0885864
51	247.0383024
52	246.6575425
53	245.4350134
54	244.3990144
55	243.7609044
56	242.8517966
57	242.1003366
58	241.7138922
59	241.3100469
60	240.3578994
61	239.7255825
62	238.7147875
63	238.2348925
64	237.7248397
65	237.3647294
66	236.9546757
67	236.5302494
68	235.7861587
69	235.4059784
70	234.8230114
71	234.5758306
72	233.9204223
73	233.404579
74	232.8074555
75	232.4240264
76	232.1799693
77	231.4775424
78	230.9493962
79	230.2968056
80	229.7853343
81	229.1812802
82	228.9610931
83	228.5329912
84	228.2089039
85	227.8227606
86	227.6270139
87	227.3594825
88	226.9873036
89	226.6039721
90	226.1311705
91	225.8603283
92	225.3608428
93	224.9034569
94	224.6721513
95	224.4623728
96	224.1895685
97	223.7011723
98	223.2494587
99	222.8196806
100	222.5358398
101	222.2195838
102	221.7534644
103	221.4216884
104	221.0483387
105	220.823096
106	220.3927374
107	220.2054827
108	219.847662
109	219.6707056
110	219.4037351
111	219.0626877
112	218.8740131
113	218.5432107
114	218.1915207
115	217.83196
116	217.4885828
117	217.2502784
118	217.0706229
119	216.691088
120	216.4106453
121	216.0330195
122	215.8619244
123	215.5306495
124	215.0234634
125	214.7934367
126	214.5557273
127	214.0725117
128	213.7481935
129	213.541347
130	213.2659639
131	212.8362788
132	212.3921515
133	212.1942171
134	212.0779261
135	211.7825181
136	211.5563501
137	211.2835416
138	211.0636281
139	210.7866786
140	210.4554678
141	210.2026745
142	210.0255906
143	209.7343231
144	209.4332042
145	209.2659428
146	209.0618364
147	208.7927837
148	208.4932397
149	208.2071121
150	207.9064585
151	207.6582201
152	207.3294133
153	207.161566
154	206.9625554
155	206.7779767
156	206.4912743
157	206.3005265
158	205.9415731
159	205.8330527
160	205.6408136
161	205.4316201
162	205.2530814
163	205.1016285
164	204.9482448
165	204.8356795
166	204.6065461
167	204.3586959
168	203.8702906
169	203.7285325
170	203.482589
171	203.3415315
172	203.2576511
