iter	Passed	Remaining
0	4	2248
1	7	1780
2	9	1587
3	14	1816
4	18	1820
5	20	1719
6	23	1645
7	26	1622
8	31	1703
9	33	1641
10	39	1757
11	42	1712
12	47	1790
13	50	1764
14	54	1766
15	57	1737
16	63	1807
17	66	1787
18	69	1767
19	71	1727
20	75	1711
21	77	1687
22	79	1657
23	82	1628
24	84	1610
25	86	1584
26	89	1568
27	94	1587
28	97	1576
29	99	1559
30	102	1544
31	104	1529
32	108	1538
33	111	1521
34	112	1497
35	114	1472
36	115	1448
37	117	1425
38	118	1403
39	120	1383
40	121	1365
41	124	1357
42	126	1341
43	127	1324
44	129	1308
45	130	1292
46	132	1276
47	133	1261
48	135	1247
49	136	1232
50	139	1228
51	141	1222
52	143	1210
53	145	1199
54	146	1187
55	148	1176
56	150	1166
57	151	1156
58	153	1146
59	156	1145
60	158	1140
61	160	1130
62	161	1121
63	163	1112
64	164	1103
65	166	1095
66	168	1086
67	170	1080
68	172	1077
69	174	1070
70	175	1063
71	177	1054
72	178	1046
73	180	1039
74	182	1031
75	183	1026
76	185	1020
77	188	1020
78	190	1016
79	192	1009
80	193	1003
81	195	996
82	197	990
83	198	984
84	200	978
85	202	976
86	205	973
87	206	968
88	208	962
89	209	956
90	211	950
91	213	945
92	214	939
93	216	933
94	218	929
95	220	927
96	222	923
97	223	918
98	225	913
99	227	908
100	228	903
101	230	898
102	231	893
103	233	889
104	236	889
105	238	887
106	240	884
107	242	880
108	244	878
109	246	874
110	248	871
111	251	872
112	254	870
113	255	866
114	258	863
115	259	860
116	261	856
117	263	853
118	265	851
119	268	850
120	270	847
121	272	843
122	273	838
123	275	834
124	276	830
125	278	826
126	279	822
127	282	820
128	284	818
129	286	815
130	288	812
131	290	810
132	292	806
133	293	802
134	295	798
135	296	794
136	299	793
137	301	790
138	303	787
139	304	783
140	306	780
141	307	776
142	309	773
143	311	769
144	313	768
145	316	766
146	317	763
147	319	760
148	321	756
149	322	753
150	324	750
151	326	746
152	327	743
153	329	740
154	332	739
155	334	736
156	335	733
157	337	730
158	339	727
159	340	724
160	342	720
161	343	717
162	346	716
163	348	714
164	350	712
165	352	709
166	353	705
167	355	702
168	357	699
169	358	696
170	360	693
171	362	691
172	364	689
173	366	686
174	367	683
175	369	680
176	371	677
177	372	674
178	374	671
179	375	668
180	377	665
181	379	663
182	381	661
183	383	658
184	385	655
185	386	652
186	388	649
187	389	646
188	391	643
189	392	640
190	395	639
191	397	637
192	399	634
193	400	632
194	402	629
195	403	626
196	405	623
197	406	620
198	408	617
199	410	615
200	412	613
201	414	611
202	416	608
203	417	605
204	419	603
205	420	600
206	422	597
207	424	595
208	426	593
209	428	591
210	430	589
211	431	586
212	433	584
213	435	581
214	436	578
215	438	576
216	439	573
217	441	570
218	444	569
219	445	567
220	447	564
221	449	562
222	450	559
223	452	557
224	453	554
225	455	552
226	456	549
227	459	548
228	461	546
229	463	543
230	464	541
231	466	538
232	468	536
233	469	533
234	471	531
235	472	528
236	475	527
237	477	525
238	479	523
239	480	520
240	482	518
241	483	515
242	485	513
243	486	510
244	488	508
245	491	507
246	493	505
247	495	503
248	497	501
249	499	499
250	500	496
251	502	494
252	504	492
253	505	489
254	508	488
255	510	486
256	512	484
257	514	482
258	515	479
259	517	477
260	518	474
261	520	472
262	522	470
263	524	469
264	526	466
265	528	464
266	529	462
267	531	459
268	532	457
269	534	455
270	536	452
271	538	451
272	540	449
273	542	447
274	543	444
275	545	442
276	546	440
277	548	437
278	549	435
279	551	433
280	553	431
281	555	429
282	557	427
283	559	425
284	560	423
285	562	420
286	563	418
287	565	416
288	567	414
289	568	411
290	571	410
291	573	408
292	575	406
293	577	404
294	579	402
295	582	401
296	584	399
297	587	398
298	589	396
299	591	394
300	594	392
301	595	390
302	597	388
303	598	386
304	600	383
305	603	382
306	605	380
307	606	378
308	608	376
309	610	373
310	611	371
311	613	369
312	615	367
313	616	365
314	619	364
315	621	361
316	623	359
317	624	357
318	626	355
319	628	353
320	629	351
321	631	348
322	632	346
323	635	344
324	637	343
325	638	341
326	640	339
327	642	337
328	644	334
329	646	332
330	647	330
331	650	329
332	652	327
333	654	325
334	656	323
335	658	321
336	659	319
337	661	317
338	663	314
339	665	312
340	667	311
341	669	309
342	671	307
343	673	305
344	674	303
345	676	301
346	678	299
347	679	296
348	681	295
349	684	293
350	686	291
351	688	289
352	689	287
353	691	285
354	693	283
355	694	281
356	696	278
357	698	277
358	700	275
359	702	273
360	704	271
361	706	269
362	707	267
363	709	265
364	711	263
365	712	260
366	715	259
367	717	257
368	718	255
369	720	253
370	721	251
371	723	248
372	725	246
373	727	244
374	728	242
375	731	241
376	733	239
377	735	237
378	736	235
379	738	233
380	740	231
381	741	229
382	743	227
383	745	225
384	748	223
385	750	221
386	752	219
387	754	217
388	756	215
389	757	213
390	759	211
391	762	209
392	764	208
393	766	206
394	768	204
395	769	202
396	771	200
397	773	198
398	774	196
399	776	194
400	778	192
401	781	190
402	783	188
403	785	186
404	786	184
405	788	182
406	790	180
407	791	178
408	794	176
409	796	174
410	798	172
411	800	170
412	801	168
413	803	166
414	804	164
415	806	162
416	808	160
417	811	159
418	813	157
419	814	155
420	816	153
421	818	151
422	819	149
423	821	147
424	822	145
425	824	143
426	826	141
427	829	139
428	830	137
429	832	135
430	834	133
431	835	131
432	837	129
433	839	127
434	840	125
435	843	123
436	845	121
437	847	120
438	850	118
439	851	116
440	853	114
441	854	112
442	856	110
443	858	108
444	860	106
445	862	104
446	864	102
447	866	100
448	867	98
449	869	96
450	871	94
451	873	92
452	875	90
453	877	88
454	879	86
455	880	84
456	882	83
457	884	81
458	885	79
459	887	77
460	888	75
461	891	73
462	893	71
463	895	69
464	897	67
465	898	65
466	900	63
467	901	61
468	903	59
469	905	57
470	907	55
471	909	53
472	911	52
473	913	50
474	914	48
475	916	46
476	917	44
477	919	42
478	921	40
479	923	38
480	925	36
481	928	34
482	930	32
483	932	30
484	934	28
485	936	26
486	938	25
487	940	23
488	942	21
489	944	19
490	946	17
491	947	15
492	949	13
493	951	11
494	952	9
495	955	7
496	957	5
497	959	3
498	961	1
499	962	0
